עיר,lat,lon
ירושלים,31.85237,35.23793
ירושלים,31.73701,35.25043
ירושלים,31.88447,35.05685
ירושלים,31.84491,35.13345
ירושלים,31.63577,35.27218
ירושלים,31.74937,35.28765
ירושלים,31.75452,35.37483
ירושלים,31.72714,35.20622
ירושלים,31.86735,35.09490
ירושלים,31.72782,35.17028
ירושלים,31.84052,35.17578
ירושלים,31.79014,35.18000
ירושלים,31.71171,35.24563
ירושלים,31.90313,35.14882
ירושלים,31.74618,35.08922
ירושלים,31.75997,35.17481
ירושלים,31.77686,35.36509
ירושלים,31.75309,35.36236
ירושלים,31.75002,35.14813
ירושלים,31.73152,35.21681
ירושלים,31.76057,35.28839
ירושלים,31.79166,35.20739
ירושלים,31.95682,35.08196
ירושלים,31.71405,35.05820
ירושלים,31.76050,35.22768
ירושלים,31.71909,35.13703
ירושלים,31.67573,35.04082
ירושלים,31.87672,35.20981
ירושלים,31.81419,35.24014
ירושלים,31.67838,35.26509
ירושלים,31.70404,35.15119
ירושלים,31.61205,35.44164
ירושלים,31.79077,35.34286
ירושלים,31.81168,35.01495
ירושלים,31.78215,35.25919
תל אביב,31.98086,34.88382
תל אביב,32.11336,34.76922
תל אביב,32.02435,34.77658
תל אביב,31.97038,34.81108
תל אביב,31.97264,34.81050
תל אביב,31.94464,34.90985
תל אביב,32.12997,34.70748
תל אביב,32.19176,34.75216
תל אביב,32.10908,34.80332
תל אביב,31.90882,34.66636
תל אביב,32.05217,34.79490
תל אביב,32.02070,34.78221
תל אביב,31.92980,34.76071
תל אביב,32.21811,34.85574
תל אביב,32.17874,34.78355
תל אביב,32.10551,34.80768
תל אביב,32.10973,34.89530
תל אביב,32.21014,34.81295
תל אביב,31.98532,34.80837
תל אביב,32.06606,34.73151
תל אביב,32.06536,34.78053
תל אביב,31.89940,34.84528
תל אביב,32.25313,34.86115
תל אביב,32.04378,34.89350
תל אביב,32.08633,34.71465
תל אביב,31.98265,34.87580
תל אביב,32.05148,34.66097
תל אביב,32.06049,34.78340
תל אביב,31.88618,34.78680
תל אביב,32.13251,34.91573
תל אביב,32.11820,34.85136
תל אביב,32.06968,34.87075
תל אביב,32.16814,34.76434
תל אביב,32.16091,34.91676
תל אביב,31.90558,34.66701
חיפה,32.81507,34.98206
חיפה,32.88323,35.03312
חיפה,32.77432,35.02960
חיפה,32.78759,34.92359
חיפה,32.91109,35.14154
חיפה,32.75520,34.94259
חיפה,32.91645,35.10078
חיפה,32.83295,34.99991
חיפה,32.91376,35.03695
חיפה,32.70630,35.14691
חיפה,32.84201,35.03245
חיפה,32.77336,35.11079
חיפה,32.83325,34.98346
חיפה,32.84242,35.01928
חיפה,32.85740,34.95150
חיפה,32.80255,35.07574
חיפה,32.88243,34.98535
חיפה,32.72549,34.97249
חיפה,32.81786,34.99917
חיפה,32.79159,34.81569
חיפה,32.76610,34.89978
חיפה,32.68380,34.95148
חיפה,33.08103,34.97048
חיפה,32.76074,35.10535
חיפה,32.75469,35.06874
חיפה,32.77130,34.87394
חיפה,32.75964,34.82922
חיפה,32.78008,34.95916
חיפה,32.66080,34.90784
חיפה,32.69151,34.90876
באר שבע,31.27900,34.88105
באר שבע,31.28239,34.59251
באר שבע,31.20909,34.79191
באר שבע,31.26571,34.95129
באר שבע,31.10386,34.83758
באר שבע,31.17110,34.73763
באר שבע,31.25704,34.87408
באר שבע,31.26156,34.62173
באר שבע,31.41497,34.88964
באר שבע,31.33991,34.82728
באר שבע,31.33368,34.87867
באר שבע,31.22022,34.71847
באר שבע,31.20062,34.78983
באר שבע,31.24666,34.69390
באר שבע,31.18784,34.77811
באר שבע,31.20769,34.72988
באר שבע,31.31745,34.73837
באר שבע,31.32201,34.67522
באר שבע,31.28494,34.88946
באר שבע,31.22167,34.79640
באר שבע,31.37805,34.79434
באר שבע,31.30151,34.78965
באר שבע,31.17412,34.82138
באר שבע,31.36707,34.73427
באר שבע,31.31463,34.86868
