יישוב,lat,lon
יישוב א,32.06772,35.06181
יישוב א,32.01809,35.06552
יישוב א,32.02210,35.13657
יישוב א,32.09019,35.06371
יישוב א,31.98028,35.00136
יישוב א,32.06745,35.02827
יישוב א,32.09667,35.02760
יישוב א,32.03028,34.98837
יישוב א,32.01720,34.89538
יישוב א,32.01842,35.01109
יישוב ב,32.13772,35.02564
יישוב ב,32.31775,34.91904
יישוב ב,32.22927,34.91348
יישוב ב,32.28356,34.99183
יישוב ב,32.23604,35.06061
יישוב ב,32.19059,34.95946
יישוב ב,32.26742,34.95512
יישוב ב,32.25683,34.98428
יישוב ג,31.94697,35.22298
יישוב ג,31.96858,35.26329
יישוב ג,32.03058,35.22549
יישוב ג,32.03129,35.29328
יישוב ג,32.07140,35.27821
יישוב ג,32.07461,35.23847
יישוב ג,31.87579,35.27922
יישוב ג,31.98565,35.18211
יישוב ג,31.95285,35.19842
יישוב ג,31.88623,35.33194
יישוב ג,31.90910,35.22696
יישוב ג,31.97678,35.33349
יישוב ד,32.11611,35.27998
יישוב ד,32.13796,35.30290
יישוב ד,32.12412,35.26162
יישוב ד,32.12962,35.32137
יישוב ד,32.11284,35.36525
יישוב ד,32.22345,35.29842
יישוב ד,32.14678,35.34364
יישוב ה,31.81500,34.92803
יישוב ה,31.74861,34.91048
יישוב ה,31.88052,34.94391
יישוב ה,31.80800,34.86745
יישוב ה,31.89251,34.90219
יישוב ה,31.87395,34.88437
יישוב ה,31.85588,34.94511
יישוב ה,31.86198,34.96958
יישוב ה,31.81616,34.95659
