f1,f2
26.13,25.83
14.80,3.31
3.60,33.60
24.25,22.39
26.40,14.15
21.47,19.05
30.17,24.33
8.72,15.39
27.09,24.54
14.48,10.85
17.29,18.50
9.51,25.62
18.69,21.03
20.41,6.44
11.24,15.40
18.59,15.05
12.97,23.89
15.61,15.03
26.52,19.05
15.27,1.28
29.80,21.90
20.21,26.63
5.08,25.69
22.90,10.35
27.48,21.20
21.48,8.11
19.42,-0.27
10.97,19.21
14.04,25.84
20.60,21.07
12.29,10.09
35.04,26.49
29.73,36.64
10.20,33.35
24.11,13.33
27.13,24.00
11.39,32.42
19.05,22.27
38.31,24.78
27.62,27.84
18.74,12.32
21.82,21.43
21.76,24.50
21.36,19.72
8.01,29.90
66.56,60.94
68.03,67.52
68.60,66.76
73.57,70.51
65.91,66.98
61.72,65.61
64.74,68.16
73.26,63.67
78.93,67.71
78.27,66.09
76.35,64.23
60.33,79.06
69.00,72.25
76.26,66.05
66.90,54.88
59.96,76.92
60.26,70.99
78.01,56.94
77.91,68.66
77.08,52.06
64.74,54.59
71.62,51.22
68.03,59.97
70.47,62.19
63.07,62.15
61.37,72.94
74.23,64.85
77.07,67.69
56.57,65.94
62.24,68.90
67.14,68.97
73.42,76.65
60.53,65.49
57.85,60.72
64.72,70.61
62.92,55.28
63.22,81.33
74.75,63.55
73.22,72.77
77.80,64.76
81.93,62.73
84.39,59.60
84.85,67.13
79.65,75.60
65.32,71.82
32.82,75.58
32.78,80.11
21.38,73.71
28.61,85.12
36.59,69.77
12.39,77.02
20.97,79.21
15.44,81.02
30.06,71.17
19.58,86.58
24.08,81.00
33.44,73.24
25.54,64.39
12.31,86.11
23.42,86.48
18.35,55.94
16.46,62.47
22.97,62.59
42.47,76.16
17.88,72.09
29.15,70.58
25.73,71.50
33.94,72.67
27.10,61.26
29.17,77.13
30.67,72.87
36.77,65.99
32.63,69.75
22.14,83.37
24.95,66.99
30.85,74.92
23.44,76.54
30.37,68.85
21.56,71.22
30.82,74.66
23.19,82.43
23.05,72.78
23.43,67.15
31.36,76.04
26.36,55.75
84.32,13.96
91.65,4.23
66.32,16.46
75.60,14.01
89.59,23.31
56.54,12.17
72.28,20.71
80.12,18.02
79.37,14.21
72.30,14.71
71.01,25.73
87.59,25.19
78.85,17.99
89.46,16.32
85.75,12.67
85.41,9.74
76.75,25.55
81.90,10.24
79.25,14.90
77.98,9.04
160.0,150.0
-90.0,-80.0
