מבקרים,הכנסה_אלפי_שח
38.7,69.0
21.9,62.6
28.3,63.0
12.9,64.1
15.9,77.4
18.2,74.4
24.2,69.8
23.3,66.3
25.8,68.9
25.3,75.4
8.9,66.7
16.8,59.6
28.3,73.9
27.3,68.0
33.2,59.9
12.5,76.2
9.1,74.5
34.7,69.2
12.0,63.8
29.4,72.0
58.3,25.9
71.9,28.0
66.3,21.6
77.4,26.7
69.8,21.9
77.7,38.1
55.8,29.2
64.8,28.7
63.2,16.5
61.8,26.1
70.0,38.2
69.1,31.1
77.0,35.2
69.6,27.0
63.5,17.0
77.0,37.3
69.6,13.6
68.2,37.2
62.8,9.4
91.5,20.6
51.8,48.4
60.8,54.3
60.1,49.8
37.0,32.0
40.8,39.7
60.4,53.6
45.8,55.1
46.4,51.8
44.0,52.8
43.8,51.2
44.7,48.6
47.5,55.1
42.5,48.9
44.6,49.3
45.5,55.3
