טמפרטורה_צלזיוס,לחות_אחוז
22.50,45.1
21.99,42.2
23.24,39.7
22.25,43.4
21.32,39.8
21.64,43.4
21.16,44.2
23.07,44.3
23.21,50.0
22.37,46.1
21.32,45.9
23.06,31.5
22.66,50.6
23.84,37.6
22.50,47.9
20.37,42.8
22.90,51.6
21.98,40.8
28.61,70.1
27.62,66.7
27.46,70.5
28.98,59.2
27.62,69.0
25.61,71.9
27.54,62.8
26.42,63.4
28.29,66.8
26.64,63.6
27.79,72.3
25.02,67.6
26.19,65.9
26.49,62.5
26.17,71.0
26.00,71.3
26.13,70.2
25.89,60.0
18.95,30.3
18.63,35.2
20.35,26.4
19.45,26.7
18.98,26.2
18.01,30.5
19.27,41.0
17.39,28.8
17.41,28.6
19.08,30.2
19.76,34.3
16.71,29.2
20.52,30.0
17.27,28.2
