Village_ID,Latitude,Longitude,Affected_People,Cluster
Village_001,31.80384995355393,74.82160749459008,1856,1
Village_002,30.510841958683578,75.96161576464128,474,2
Village_003,30.882724485427584,76.64860215520352,149,0
Village_004,31.42669265309177,74.68619056748766,540,1
Village_005,30.98468679504811,75.18035191436977,1136,1
Village_006,30.615755778332964,75.84664340083444,434,2
Village_007,31.312191573567574,74.37569370453265,1194,1
Village_008,30.67968376367651,76.05920216341941,1334,2
Village_009,30.139466046416185,76.41882290639845,1558,0
Village_010,31.41991115246293,75.20160393736633,334,1
Village_011,30.68940268571971,76.49829736457812,392,0
Village_012,30.143222918655127,76.37806524818795,2282,0
Village_013,31.917890719236116,74.44270472251014,848,1
Village_014,31.872409564543354,76.2677739034988,543,2
Village_015,30.58846330299839,76.43997889841648,312,0
Village_016,31.276820129997212,74.31584702526209,751,1
Village_017,30.738776430164073,76.21999277917662,774,2
Village_018,29.93430669336145,76.4270501089198,2025,0
Village_019,31.393077299892912,75.08408670109431,113,1
Village_020,31.103742978149562,76.16071196085767,1849,2
Village_021,30.036273866872076,76.27177566845207,2171,0
Village_022,31.10214634865838,75.25487644152469,252,1
Village_023,30.512782759097888,75.43132768157176,1851,2
Village_024,30.622178396730646,76.48379648451514,1233,0
Village_025,31.75657260876667,74.64420808588821,1925,1
Village_026,31.423401988509216,75.96836343819766,1285,2
Village_027,29.413089213568586,76.66766587653133,161,0
Village_028,31.133437339493007,75.2348720660688,1320,1
Village_029,30.82311483925687,75.9749894000291,1084,2
Village_030,30.053759584955728,76.64029894931993,284,0
Village_031,31.347027238987383,74.69438503474542,2331,1
Village_032,31.07550691603368,76.25536532852621,2191,2
Village_033,30.144583928681534,76.55964360158967,2242,0
Village_034,32.11015174674242,74.9314436528842,2250,1
Village_035,30.654281417142926,75.73531824869077,647,2
Village_036,30.77580676704884,76.27781656521103,2165,2
Village_037,31.63178970982486,74.7878945033187,1101,1
Village_038,30.761569241946894,75.74880210023551,910,2
Village_039,30.273550000916895,76.52141779988509,1345,0
Village_040,31.299930117036457,75.36138555853076,2432,1
Village_041,30.228430074645335,75.84072014359276,783,2
Village_042,30.36582168889238,76.2285867518082,1306,0
Village_043,31.562673662326606,74.97554156981677,447,1
Village_044,31.018937337465324,75.84741694751939,680,2
Village_045,30.729987985080257,76.64317656144037,670,0
Village_046,31.349360254827605,75.35440550162645,1617,1
Village_047,31.105399982830093,76.6166594690335,316,2
Village_048,30.157298631228834,76.70310691291968,547,0
Village_049,31.664877977780673,74.69378352105933,1726,1
Village_050,30.903200521009047,75.72206124610861,643,2
Village_051,29.95819370019586,76.54575735072231,1758,0
Village_052,31.847191875586606,74.81367191809794,430,1
Village_053,30.625861347682317,75.737278469328,2319,2
Village_054,30.20513924098113,76.57464262948689,1683,0
Village_055,31.709610977111446,75.32749996399886,1371,1
Village_056,30.786428164759887,75.77794664901657,2253,2
Village_057,30.420958977986945,76.65363800512205,913,0
Village_058,32.08478888499257,74.56649884538265,2253,1
Village_059,30.987672497621055,75.97125687332394,1640,2
Village_060,30.409200894324606,76.67659050140182,122,0
Village_061,31.732575365654537,74.61997700369078,112,1
Village_062,30.961191554197015,75.42410078767426,1760,2
Village_063,29.913043775979073,76.60979376302184,1809,0
Village_064,31.367087201367625,74.47435018140781,1891,1
Village_065,31.237181645235513,75.99447332442777,1678,2
Village_066,30.02632561850722,76.43105164834991,982,0
Village_067,31.318669949631065,74.5844664002621,2435,1
Village_068,31.207535741866813,75.76614192213216,1614,2
